,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-dizier,48.42,5.08,50.27,71,63,5.816044,FR,10/14/2020
1,albany,42.6,-73.97,68.27,34,0,8.9253906,US,10/14/2020
2,eldorado,-23.79,-54.28,99.77,25,31,6.9568834,BR,10/14/2020
3,aurillac,44.92,2.45,45.266,93,90,4.697574,FR,10/14/2020
4,biak,-0.91,122.88,78.368,79,99,5.4357642,ID,10/14/2020
5,cape town,-33.93,18.42,65.264,77,10,6.934514,ZA,10/14/2020
6,bluff,-46.6,168.33,33.278,93,53,1.9908766,NZ,10/14/2020
7,balykshi,47.07,51.87,52.07,27,1,6.71082,KZ,10/14/2020
8,mataura,-46.19,168.86,33.278,93,58,1.9908766,NZ,10/14/2020
9,punta arenas,-53.15,-70.92,50.27,53,75,18.342908,CL,10/14/2020
10,turayf,31.67,38.66,73.67,43,23,9.171454,SA,10/14/2020
11,puerto ayora,-0.74,-90.35,75.47,78,75,11.408394,EC,10/14/2020
12,chunskiy,56.08,99.63,34.592,94,99,8.1200922,RU,10/14/2020
13,loikaw,19.67,97.21,68.234,83,67,2.9751302,MM,10/14/2020
14,vila franca do campo,37.72,-25.43,71.87,83,20,14.987498,PT,10/14/2020
15,mahebourg,-20.41,57.7,73.67,83,20,6.934514,MU,10/14/2020
16,bilibino,68.05,166.44,23.342,91,100,2.9527608,RU,10/14/2020
17,yinchuan,38.47,106.27,50.882,41,94,5.1673314,CN,10/14/2020
18,atuona,-9.8,-139.03,77.846,74,24,22.3246612,PF,10/14/2020
19,farafangana,-22.82,47.83,73.778,89,61,6.3529096,MG,10/14/2020
20,kapaa,22.08,-159.32,76.262,88,1,8.052984,US,10/14/2020
21,xique-xique,-10.82,-42.73,91.256,29,0,6.2186932,BR,10/14/2020
22,asau,46.43,26.4,45.266,91,1,4.4962494,RO,10/14/2020
23,hirara,24.8,125.28,79.628,75,99,15.5019942,JP,10/14/2020
24,kingsville,27.52,-97.86,88.268,58,75,5.816044,US,10/14/2020
25,salalah,17.02,54.09,80.87,88,20,2.23694,OM,10/14/2020
26,bethel,41.37,-73.41,68.27,48,1,9.171454,US,10/14/2020
27,goderich,43.75,-81.72,60.278,67,73,19.5955944,CA,10/14/2020
28,ostrovnoy,68.05,39.51,36.5,84,100,9.0819764,RU,10/14/2020
29,richards bay,-28.78,32.04,64.67,74,73,5.6147194,ZA,10/14/2020
30,hobart,-42.88,147.33,57.47,67,40,12.750558,AU,10/14/2020
31,saldanha,-33.01,17.94,70.07,37,0,8.052984,ZA,10/14/2020
32,iqaluit,63.75,-68.51,35.87,98,90,26.395892,CA,10/14/2020
33,ushuaia,-54.8,-68.3,44.87,67,40,26.395892,AR,10/14/2020
34,cabo san lucas,22.89,-109.91,87.278,74,20,11.408394,MX,10/14/2020
35,provideniya,64.38,-173.3,30.884,93,89,5.3462866,RU,10/14/2020
36,mirnyy,62.54,113.96,21.47,73,75,8.94776,RU,10/14/2020
37,alofi,-19.06,-169.92,66.47,77,96,5.816044,NU,10/14/2020
38,kiama,-34.68,150.87,59.27,86,88,1.006623,AU,10/14/2020
39,saskylakh,71.92,114.08,14.414,95,87,15.6362106,RU,10/14/2020
40,maun,-19.98,23.42,86.27,25,0,9.171454,BW,10/14/2020
41,hermanus,-34.42,19.23,63.266,72,2,4.0041226,ZA,10/14/2020
42,iquique,-20.22,-70.14,66.47,63,35,14.987498,CL,10/14/2020
43,chokurdakh,70.63,147.92,20.174,98,100,3.3330406,RU,10/14/2020
44,upernavik,72.79,-56.15,32.972,89,0,3.4001488,GL,10/14/2020
45,tocache,-8.18,-76.51,97.142,31,22,1.9237684,PE,10/14/2020
46,karla,59.37,24.93,51.278,81,40,9.171454,EE,10/14/2020
47,jamestown,42.1,-79.24,63.266,41,1,12.750558,US,10/14/2020
48,marawi,8,124.29,73.274,96,100,2.9974996,PH,10/14/2020
49,eyl,7.98,49.82,81.626,75,56,16.329662,SO,10/14/2020
50,new norfolk,-42.78,147.06,52.268,65,100,2.5053728,AU,10/14/2020
51,ampanihy,-24.7,44.75,63.95,67,0,12.6163416,MG,10/14/2020
52,lebu,-37.62,-73.65,56.138,62,7,18.5889714,CL,10/14/2020
53,oranjemund,-28.55,16.43,68.576,48,0,9.9096442,,10/14/2020
54,stephenville,32.22,-98.2,87.278,42,1,11.408394,US,10/14/2020
55,laguna,38.42,-121.42,82.67,34,1,10.289924,US,10/14/2020
56,vao,-22.67,167.48,72.05,86,9,15.5691024,NC,10/14/2020
57,kharp,66.8,65.81,31.478,95,60,6.1068462,RU,10/14/2020
58,valentigney,47.46,6.83,44.276,80,20,10.289924,FR,10/14/2020
59,yellowknife,62.46,-114.35,25.268,62,90,27.514362,CA,10/14/2020
60,lompoc,34.64,-120.46,91.67,25,1,8.052984,US,10/14/2020
61,santa rosa,14.31,121.11,77.27,94,90,12.750558,PH,10/14/2020
62,busselton,-33.65,115.33,56.264,71,5,10.178077,AU,10/14/2020
63,airai,-8.93,125.41,61.106,78,92,2.2145706,TL,10/14/2020
64,ambon,-3.7,128.18,83.264,92,100,8.5898496,ID,10/14/2020
65,bambous virieux,-20.34,57.76,75.272,83,20,6.934514,MU,10/14/2020
66,matara,5.95,80.54,79.124,85,88,11.6544574,LK,10/14/2020
67,khatanga,71.97,102.5,24.962,98,100,8.5898496,RU,10/14/2020
68,bengkulu,-3.8,102.27,76.892,87,72,3.8251674,ID,10/14/2020
69,olafsvik,64.89,-23.71,47.624,89,100,27.6709478,IS,10/14/2020
70,citeureup,-6.49,106.88,82.274,90,83,4.7423128,ID,10/14/2020
